player_id,saison,goals,assists
68033,2012,7.0,10.0
68033,2013,1.0,4.0
68033,2019,2.0,1.0
68033,2021,8.0,4.0
68033,2024,7.0,4.0
68390,2024,0.0,0.0
68410,2024,0.0,0.0
68645,2024,0.0,1.0
68863,2010,8.0,0.0
68863,2012,10.0,4.0
68863,2019,20.0,4.0
68863,2022,23.0,8.0
68863,2024,31.0,12.0
68864,2009,4.0,9.0
68864,2010,6.0,8.0
68864,2012,7.0,12.0
68864,2017,1.0,1.0
68864,2024,0.0,2.0
68980,2024,0.0,0.0
68983,2024,0.0,1.0
69015,2016,19.0,10.0
69015,2017,10.0,9.0
69015,2024,8.0,5.0
69374,2008,5.0,4.0
69374,2012,12.0,6.0
69374,2015,4.0,3.0
69374,2018,9.0,14.0
69374,2024,0.0,0.0
69511,2024,10.0,3.0
69633,2012,13.0,22.0
69633,2018,10.0,17.0
69633,2024,1.0,3.0
69636,2012,3.0,2.0
69636,2024,0.0,1.0
69642,2024,0.0,1.0
69646,2024,0.0,0.0
69683,2024,0.0,0.0
70074,2024,0.0,1.0
70114,2016,16.0,5.0
70114,2024,12.0,4.0
70245,2024,1.0,1.0
70359,2018,2.0,1.0
70359,2024,0.0,8.0
70411,2008,4.0,2.0
70411,2024,3.0,2.0
70580,2024,0.0,0.0
70754,2024,2.0,0.0
70923,2024,0.0,0.0
71292,2009,4.0,5.0
71292,2012,6.0,4.0
71292,2014,3.0,6.0
71292,2021,2.0,3.0
71292,2024,3.0,6.0
71830,2024,0.0,1.0
72047,2012,12.0,8.0
72047,2014,10.0,3.0
72047,2024,9.0,10.0
72121,2024,0.0,0.0
72402,2024,7.0,4.0
72441,2024,0.0,0.0
72476,2024,0.0,0.0
72522,2008,3.0,2.0
72522,2011,32.0,17.0
72522,2013,0.0,1.0
72522,2018,32.0,10.0
72522,2021,7.0,1.0
72522,2024,38.0,18.0
72736,2024,0.0,1.0
72768,2015,9.0,1.0
72768,2018,6.0,0.0
72768,2024,2.0,4.0
72857,2024,0.0,0.0
73185,2012,8.0,3.0
73185,2014,6.0,3.0
73185,2015,19.0,11.0
73185,2017,9.0,8.0
73185,2018,6.0,0.0
73185,2020,4.0,4.0
73185,2021,6.0,3.0
73269,2010,0.0,0.0
73517,2024,0.0,0.0
73547,2013,6.0,5.0
73547,2017,5.0,3.0
73547,2024,1.0,1.0
73564,2024,0.0,0.0
73700,2015,5.0,3.0
73700,2024,5.0,11.0
73734,2008,1.0,4.0
73734,2011,2.0,5.0
73734,2014,4.0,1.0
73734,2017,1.0,2.0
73734,2024,4.0,0.0
73741,2009,0.0,1.0
73741,2011,3.0,4.0
73741,2014,2.0,1.0
73741,2017,4.0,2.0
73741,2024,0.0,1.0
73794,2010,5.0,1.0
73794,2012,16.0,1.0
73794,2017,11.0,4.0
73794,2018,28.0,8.0
73794,2023,13.0,4.0
73794,2024,13.0,4.0
73926,2024,0.0,2.0
74040,2024,0.0,1.0
74228,2024,0.0,1.0
74229,2024,0.0,6.0
74230,2015,7.0,6.0
74230,2018,23.0,17.0
74230,2021,22.0,10.0
74230,2024,4.0,10.0
74294,2012,5.0,1.0
74294,2014,12.0,3.0
74294,2015,5.0,8.0
74294,2016,3.0,7.0
74294,2024,3.0,1.0
74641,2008,0.0,2.0
74683,2008,2.0,1.0
74683,2010,2.0,3.0
74683,2012,5.0,1.0
74683,2016,2.0,8.0
74683,2022,2.0,3.0
74683,2024,0.0,3.0
74810,2024,2.0,0.0
74842,2012,16.0,20.0
74842,2015,6.0,4.0
74842,2021,12.0,11.0
74842,2024,4.0,4.0
74857,2024,0.0,0.0
74869,2016,0.0,0.0
74869,2019,0.0,2.0
74869,2024,0.0,0.0
74960,2024,0.0,0.0
75411,2024,0.0,0.0
75413,2019,0.0,2.0
75413,2024,0.0,0.0
75458,2024,0.0,0.0
75489,2013,6.0,1.0
75489,2015,15.0,4.0
75489,2018,3.0,2.0
75489,2022,16.0,6.0
75489,2023,16.0,10.0
75489,2024,16.0,10.0
75852,2024,0.0,1.0
75921,2024,0.0,2.0
76028,2009,7.0,2.0
76028,2011,7.0,11.0
76028,2024,4.0,10.0
76158,2024,0.0,0.0
76274,2014,13.0,2.0
76274,2015,20.0,2.0
76326,2010,10.0,4.0
76326,2013,10.0,7.0
76326,2014,17.0,12.0
76326,2015,10.0,4.0
76326,2024,8.0,7.0
76467,2024,0.0,1.0
76746,2024,0.0,2.0
77001,2015,2.0,2.0
77001,2018,0.0,0.0
77001,2024,2.0,1.0
77026,2024,2.0,1.0
77547,2024,0.0,2.0
77563,2024,0.0,0.0
77710,2024,0.0,1.0
77715,2024,0.0,0.0
77757,2024,0.0,0.0
77812,2024,0.0,0.0
77825,2024,0.0,0.0
77966,2011,5.0,9.0
77966,2024,1.0,1.0
78339,2024,0.0,0.0
78570,2024,0.0,0.0
78819,2024,0.0,0.0
78961,2013,10.0,9.0
78961,2024,0.0,0.0
79027,2014,7.0,4.0
79027,2016,10.0,9.0
79027,2024,1.0,0.0
79110,2014,3.0,2.0
79110,2024,8.0,0.0
79294,2024,0.0,0.0
79377,2013,4.0,5.0
79377,2017,1.0,5.0
79377,2021,2.0,6.0
79377,2024,0.0,0.0
79422,2024,0.0,0.0
79612,2010,10.0,8.0
79612,2013,4.0,7.0
79612,2024,5.0,4.0
79642,2012,4.0,1.0
79642,2014,14.0,6.0
79642,2024,0.0,0.0
79960,2024,1.0,0.0
79967,2012,15.0,7.0
79967,2013,15.0,2.0
79967,2017,5.0,3.0
79967,2024,1.0,0.0
80059,2017,4.0,1.0
80059,2024,6.0,2.0
80293,2024,1.0,0.0
80312,2024,0.0,0.0
80339,2024,2.0,7.0
80442,2024,0.0,1.0
80444,2011,6.0,2.0
80444,2016,14.0,9.0
80444,2021,7.0,3.0
80444,2024,0.0,0.0
80894,2024,0.0,0.0
81173,2024,0.0,1.0
81349,2010,3.0,5.0
81349,2015,6.0,10.0
81349,2017,5.0,15.0
81349,2024,0.0,0.0
81512,2024,1.0,1.0
81649,2024,1.0,1.0
81997,2024,0.0,0.0
81999,2008,3.0,0.0
81999,2013,14.0,3.0
81999,2014,10.0,4.0
81999,2016,6.0,1.0
81999,2018,3.0,1.0
81999,2023,17.0,3.0
81999,2024,17.0,3.0
82009,2009,7.0,0.0
82009,2015,8.0,10.0
82009,2019,12.0,10.0
82009,2022,6.0,3.0
82009,2024,4.0,5.0
82048,2012,6.0,3.0
82048,2015,7.0,5.0
82048,2018,3.0,6.0
82048,2024,2.0,2.0
82070,2010,0.0,1.0
82070,2012,0.0,1.0
82070,2018,0.0,3.0
82070,2024,0.0,0.0
82097,2015,0.0,3.0
82097,2024,0.0,0.0
82105,2024,0.0,0.0
82130,2011,0.0,6.0
82130,2013,4.0,8.0
82130,2024,0.0,0.0
82281,2024,0.0,5.0
82350,2024,0.0,0.0
82410,2014,12.0,10.0
82410,2016,11.0,1.0
82410,2021,17.0,11.0
82442,2007,14.0,0.0
82442,2009,24.0,7.0
82442,2011,25.0,12.0
82442,2016,16.0,6.0
82442,2020,11.0,0.0
82442,2024,17.0,9.0
82503,2024,0.0,0.0
82863,2010,4.0,0.0
82863,2015,6.0,6.0
82863,2018,0.0,3.0
82863,2024,0.0,0.0
82873,2016,5.0,6.0
82873,2023,5.0,14.0
82873,2024,5.0,13.0
83560,2014,10.0,4.0
83560,2020,17.0,6.0
83560,2024,0.0,1.0
84301,2018,4.0,5.0
84301,2024,4.0,0.0
84435,2024,0.0,0.0
84483,2024,1.0,3.0
84765,2015,17.0,3.0
84765,2016,18.0,10.0
84765,2018,16.0,3.0
84765,2021,11.0,7.0
84765,2022,7.0,4.0
84765,2024,4.0,0.0
84979,2024,0.0,1.0
84992,2024,4.0,1.0
85127,2024,0.0,0.0
85177,2024,0.0,0.0
85288,2012,12.0,6.0
85288,2024,9.0,7.0
85291,2011,4.0,5.0
85291,2024,2.0,1.0
85295,2024,0.0,1.0
85352,2015,11.0,5.0
85352,2024,0.0,0.0
85370,2024,3.0,3.0
85383,2014,6.0,6.0
85383,2016,3.0,1.0
85383,2017,5.0,4.0
85383,2024,0.0,1.0
85393,2011,6.0,2.0
85393,2015,4.0,8.0
85393,2024,6.0,3.0
85528,2024,0.0,0.0
85543,2024,0.0,0.0
85627,2024,0.0,0.0
85791,2024,0.0,1.0
85864,2024,0.0,0.0
85904,2024,3.0,1.0
85906,2024,0.0,1.0
85941,2024,0.0,0.0
85969,2024,0.0,0.0
86097,2024,0.0,0.0
86202,2024,2.0,3.0
86466,2024,1.0,0.0
86784,2024,1.0,2.0
87162,2010,17.0,1.0
87162,2013,13.0,4.0
87162,2018,0.0,0.0
87162,2024,5.0,1.0
87415,2011,1.0,4.0
87667,2024,0.0,2.0
87854,2013,4.0,2.0
